Time,Channel A,Channel B
(ms),(mV),(V)

-2.36440528,0.39370080,0.00000000
-2.36399728,0.00000000,0.00000000
-2.36358928,0.39370080,-0.07874016
-2.36318128,0.78740160,-0.07874016
-2.36277328,0.78740160,0.00000000
-2.36236528,0.78740160,0.00000000
-2.36195728,1.18110200,0.00000000
-2.36154928,0.00000000,-0.07874016
-2.36114128,0.78740160,-0.07874016
-2.36073328,0.39370080,0.00000000
-2.36032528,0.78740160,0.00000000
-2.35991728,0.00000000,0.00000000
-2.35950928,0.39370080,0.00000000
-2.35910128,0.39370080,0.00000000
-2.35869328,0.78740160,0.00000000
-2.35828528,0.39370080,0.00000000
-2.35787728,0.39370080,0.00000000
-2.35746928,0.39370080,0.00000000
-2.35706128,0.00000000,0.00000000
-2.35665328,0.39370080,0.00000000
-2.35624528,0.39370080,0.00000000
-2.35583728,0.39370080,0.00000000
-2.35542928,0.39370080,0.00000000
-2.35502128,0.39370080,0.00000000
-2.35461328,0.39370080,0.00000000
-2.35420528,0.39370080,0.00000000
-2.35379728,0.39370080,0.00000000
-2.35338928,0.39370080,0.00000000
-2.35298128,0.39370080,-0.07874016
-2.35257328,0.39370080,-0.07874016
-2.35216528,0.78740160,0.00000000
-2.35175728,0.39370080,0.00000000
-2.35134928,0.39370080,0.00000000
-2.35094128,0.39370080,0.00000000
-2.35053328,0.39370080,0.00000000
-2.35012528,0.39370080,0.00000000
-2.34971728,0.39370080,-0.07874016
-2.34930928,0.00000000,-0.07874016
-2.34890128,0.39370080,0.00000000
-2.34849328,0.39370080,0.00000000
-2.34808528,0.39370080,-0.07874016
-2.34767728,0.39370080,0.00000000
-2.34726928,0.39370080,0.00000000
-2.34686128,0.78740160,0.00000000
-2.34645328,0.39370080,-0.07874016
-2.34604528,0.78740160,0.00000000
-2.34563728,0.78740160,0.00000000
-2.34522928,0.78740160,0.00000000
-2.34482128,0.78740160,-0.07874016
-2.34441328,0.78740160,0.00000000
-2.34400528,0.39370080,0.00000000
-2.34359728,0.78740160,0.00000000
-2.34318928,0.78740160,0.00000000
-2.34278128,0.39370080,-0.07874016
-2.34237328,0.39370080,0.00000000
-2.34196528,0.78740160,-0.07874016
-2.34155728,0.78740160,0.00000000
-2.34114928,0.39370080,0.00000000
-2.34074128,0.39370080,-0.07874016
-2.34033328,0.39370080,0.00000000
-2.33992528,0.78740160,-0.07874016
-2.33951728,0.39370080,0.00000000
-2.33910928,0.78740160,0.00000000
-2.33870128,0.00000000,0.00000000
-2.33829328,0.39370080,-0.07874016
-2.33788528,0.39370080,0.00000000
-2.33747728,0.39370080,0.00000000
-2.33706928,0.78740160,0.00000000
-2.33666128,0.78740160,0.00000000
-2.33625328,0.39370080,0.00000000
-2.33584528,0.78740160,0.00000000
-2.33543728,0.39370080,0.00000000
-2.33502928,0.39370080,0.00000000
-2.33462128,0.39370080,0.00000000
-2.33421328,0.78740160,0.00000000
-2.33380528,0.78740160,0.00000000
-2.33339728,0.39370080,-0.07874016
-2.33298928,0.39370080,0.00000000
-2.33258128,0.39370080,-0.07874016
-2.33217328,0.00000000,-0.07874016
-2.33176528,0.39370080,0.00000000
-2.33135728,0.39370080,0.00000000
-2.33094928,0.39370080,0.00000000
-2.33054128,0.39370080,0.00000000
-2.33013328,0.39370080,0.00000000
-2.32972528,0.00000000,0.00000000
-2.32931728,0.39370080,0.00000000
-2.32890928,0.39370080,0.00000000
-2.32850128,0.00000000,0.00000000
-2.32809328,0.39370080,0.00000000
-2.32768528,0.39370080,-0.07874016
-2.32727728,0.39370080,-0.07874016
-2.32686928,0.78740160,0.00000000
-2.32646128,0.00000000,0.00000000
-2.32605328,0.39370080,0.00000000
-2.32564528,0.78740160,0.00000000
-2.32523728,0.39370080,0.00000000
-2.32482928,0.39370080,0.00000000
-2.32442128,0.39370080,0.00000000
-2.32401328,0.78740160,0.00000000
-2.32360528,0.78740160,0.00000000
-2.32319728,0.78740160,0.00000000
-2.32278928,0.78740160,0.00000000
-2.32238128,0.39370080,0.00000000
-2.32197328,0.39370080,-0.07874016
-2.32156528,0.39370080,0.00000000
-2.32115728,0.39370080,0.00000000
-2.32074928,0.78740160,0.00000000
-2.32034128,0.39370080,0.00000000
-2.31993328,0.00000000,-0.07874016
-2.31952528,0.78740160,0.00000000
-2.31911728,0.39370080,0.00000000
-2.31870928,0.39370080,0.00000000
-2.31830128,0.78740160,0.00000000
-2.31789328,0.39370080,0.00000000
-2.31748528,0.39370080,0.00000000
-2.31707728,0.39370080,0.00000000
-2.31666928,0.39370080,0.00000000
-2.31626128,0.78740160,0.00000000
-2.31585328,0.78740160,0.00000000
-2.31544528,0.39370080,0.00000000
-2.31503728,0.78740160,0.00000000
-2.31462928,0.78740160,0.00000000
-2.31422128,0.39370080,-0.07874016
-2.31381328,0.78740160,0.00000000
-2.31340528,0.39370080,0.00000000
-2.31299728,0.39370080,-0.07874016
-2.31258928,0.78740160,0.00000000
-2.31218128,0.39370080,0.00000000
-2.31177328,0.39370080,0.00000000
-2.31136528,0.39370080,0.00000000
-2.31095728,0.00000000,0.00000000
-2.31054928,0.39370080,-0.07874016
-2.31014128,0.39370080,0.00000000
-2.30973328,0.39370080,0.00000000
-2.30932528,0.39370080,0.00000000
-2.30891728,0.39370080,0.00000000
-2.30850928,0.78740160,0.00000000
-2.30810128,0.39370080,-0.07874016
-2.30769328,0.00000000,0.00000000
-2.30728528,0.00000000,0.00000000
-2.30687728,0.00000000,0.00000000
-2.30646928,0.39370080,0.00000000
-2.30606128,0.39370080,-0.07874016
-2.30565328,0.39370080,-0.07874016
-2.30524528,0.00000000,0.00000000
-2.30483728,0.39370080,0.00000000
-2.30442928,0.00000000,0.00000000
-2.30402128,0.39370080,0.00000000
-2.30361328,0.39370080,-0.07874016
-2.30320528,0.39370080,0.00000000
-2.30279728,0.39370080,0.00000000
-2.30238929,0.00000000,0.00000000
-2.30198129,0.39370080,0.00000000
-2.30157329,0.39370080,0.00000000
-2.30116529,0.00000000,0.00000000
-2.30075729,0.39370080,0.00000000
-2.30034929,0.00000000,0.00000000
-2.29994129,0.39370080,0.00000000
-2.29953329,0.39370080,0.00000000
-2.29912529,0.39370080,0.00000000
-2.29871729,0.39370080,0.00000000
-2.29830929,0.39370080,0.00000000
-2.29790129,0.78740160,0.00000000
